,country,year,sex,age,suicides_no,population
0,Albania,1987,male,15-24 years,21,312900
1,Albania,1987,male,35-54 years,16,308000
2,Albania,1987,female,15-24 years,14,289700
3,Albania,1987,male,75+ years,1,21800
4,Albania,1987,male,25-34 years,9,274300
5,Albania,1987,female,75+ years,1,35600
6,Albania,1987,female,35-54 years,6,278800
7,Albania,1987,female,25-34 years,4,257200
8,Albania,1987,male,55-74 years,1,137500
9,Albania,1987,female,5-14 years,0,311000
10,Albania,1987,female,55-74 years,0,144600
11,Albania,1987,male,5-14 years,0,338200
12,Albania,1988,female,75+ years,2,36400
13,Albania,1988,male,15-24 years,17,319200
14,Albania,1988,male,75+ years,1,22300
15,Albania,1988,male,35-54 years,14,314100
16,Albania,1988,male,55-74 years,4,140200
17,Albania,1988,female,15-24 years,8,295600
18,Albania,1988,female,55-74 years,3,147500
19,Albania,1988,female,25-34 years,5,262400
20,Albania,1988,male,25-34 years,5,279900
21,Albania,1988,female,35-54 years,4,284500
22,Albania,1988,female,5-14 years,0,317200
23,Albania,1988,male,5-14 years,0,345000
24,Albania,1989,male,75+ years,2,22500
25,Albania,1989,male,25-34 years,18,283600
26,Albania,1989,male,35-54 years,15,318400
27,Albania,1989,male,55-74 years,6,142100
28,Albania,1989,male,15-24 years,12,323500
29,Albania,1989,female,35-54 years,7,288600
30,Albania,1989,female,15-24 years,5,299900
31,Albania,1989,female,25-34 years,2,266300
32,Albania,1989,female,55-74 years,1,149600
33,Albania,1989,female,5-14 years,0,321900
34,Albania,1989,female,75+ years,0,37000
35,Albania,1989,male,5-14 years,0,349700
36,Albania,1992,male,35-54 years,12,343800
37,Albania,1992,male,15-24 years,9,263700
38,Albania,1992,male,55-74 years,5,159500
39,Albania,1992,male,25-34 years,7,245500
40,Albania,1992,female,15-24 years,7,292400
41,Albania,1992,female,25-34 years,4,267400
42,Albania,1992,female,35-54 years,2,323100
43,Albania,1992,female,55-74 years,1,164900
44,Albania,1992,female,5-14 years,0,336700
45,Albania,1992,female,75+ years,0,38700
46,Albania,1992,male,5-14 years,0,362900
47,Albania,1992,male,75+ years,0,23900
48,Albania,1993,male,15-24 years,18,243300
49,Albania,1993,male,55-74 years,7,165000
50,Albania,1993,male,75+ years,1,24200
51,Albania,1993,male,25-34 years,9,230100
52,Albania,1993,female,15-24 years,10,285300
53,Albania,1993,male,35-54 years,10,350300
54,Albania,1993,female,25-34 years,7,261800
55,Albania,1993,female,35-54 years,7,331200
56,Albania,1993,female,55-74 years,2,169500
57,Albania,1993,female,5-14 years,1,340300
58,Albania,1993,male,5-14 years,1,367000
59,Albania,1993,female,75+ years,0,39300
60,Albania,1994,male,75+ years,2,24600
61,Albania,1994,male,55-74 years,11,171400
62,Albania,1994,female,75+ years,2,39900
63,Albania,1994,male,25-34 years,6,231400
64,Albania,1994,male,35-54 years,9,362800
65,Albania,1994,male,15-24 years,6,242200
66,Albania,1994,female,15-24 years,6,282600
67,Albania,1994,female,25-34 years,4,261100
68,Albania,1994,female,35-54 years,2,342500
69,Albania,1994,female,55-74 years,1,174600
70,Albania,1994,male,5-14 years,1,371800
71,Albania,1994,female,5-14 years,0,344400
72,Albania,1995,male,25-34 years,13,232900
73,Albania,1995,male,55-74 years,9,178000
74,Albania,1995,female,75+ years,2,40800
75,Albania,1995,female,15-24 years,13,283500
76,Albania,1995,male,15-24 years,11,241200
77,Albania,1995,male,75+ years,1,25100
78,Albania,1995,male,35-54 years,14,375900
79,Albania,1995,female,25-34 years,7,264000
80,Albania,1995,female,35-54 years,8,356400
81,Albania,1995,male,5-14 years,6,376500
82,Albania,1995,female,55-74 years,2,180400
83,Albania,1995,female,5-14 years,2,348700
84,Albania,1996,male,75+ years,2,25400
85,Albania,1996,male,15-24 years,17,243600
86,Albania,1996,male,25-34 years,14,235300
87,Albania,1996,female,15-24 years,16,287700
88,Albania,1996,female,75+ years,2,41200
89,Albania,1996,female,25-34 years,10,267900
90,Albania,1996,male,35-54 years,12,379600
91,Albania,1996,female,35-54 years,9,362000
92,Albania,1996,male,55-74 years,3,179900
93,Albania,1996,female,55-74 years,1,183100
94,Albania,1996,male,5-14 years,2,380400
95,Albania,1996,female,5-14 years,1,354100
96,Albania,1997,male,25-34 years,36,236000
97,Albania,1997,male,15-24 years,33,244400
98,Albania,1997,male,75+ years,3,25400
99,Albania,1997,male,35-54 years,30,380800
100,Albania,1997,female,15-24 years,21,294000
101,Albania,1997,male,55-74 years,12,180300
102,Albania,1997,female,25-34 years,16,273900
103,Albania,1997,female,75+ years,2,42100
104,Albania,1997,female,35-54 years,7,370100
105,Albania,1997,female,5-14 years,6,361800
106,Albania,1997,male,5-14 years,4,381500
107,Albania,1997,female,55-74 years,0,187000
108,Albania,1998,male,75+ years,3,25800
109,Albania,1998,male,15-24 years,27,248800
110,Albania,1998,female,15-24 years,32,295600
111,Albania,1998,male,25-34 years,26,240400
112,Albania,1998,male,35-54 years,29,388200
113,Albania,1998,male,55-74 years,9,183800
114,Albania,1998,female,25-34 years,10,275300
115,Albania,1998,female,55-74 years,6,188200
116,Albania,1998,female,35-54 years,9,372100
117,Albania,1998,male,5-14 years,2,388400
118,Albania,1998,female,5-14 years,1,363800
119,Albania,1998,female,75+ years,0,42300
120,Albania,1999,male,75+ years,3,25900
121,Albania,1999,male,15-24 years,24,250600
122,Albania,1999,female,75+ years,4,42400
123,Albania,1999,male,35-54 years,31,391100
124,Albania,1999,male,25-34 years,19,242300
125,Albania,1999,male,55-74 years,14,185200
126,Albania,1999,female,15-24 years,19,296800
127,Albania,1999,female,25-34 years,13,276500
128,Albania,1999,female,55-74 years,6,188800
129,Albania,1999,female,35-54 years,5,373600
130,Albania,1999,female,5-14 years,1,365200
131,Albania,1999,male,5-14 years,0,391300
132,Albania,2000,male,25-34 years,17,232000
133,Albania,2000,male,55-74 years,10,177400
134,Albania,2000,female,75+ years,2,37800
135,Albania,2000,male,75+ years,1,24900
136,Albania,2000,female,15-24 years,6,263900
137,Albania,2000,male,15-24 years,5,240000
138,Albania,2000,female,35-54 years,5,332200
139,Albania,2000,female,25-34 years,3,245800
140,Albania,2000,male,35-54 years,4,374700
141,Albania,2000,male,5-14 years,1,374900
142,Albania,2000,female,5-14 years,0,324700
143,Albania,2000,female,55-74 years,0,168000
144,Albania,2001,male,25-34 years,22,206484
145,Albania,2001,male,35-54 years,34,378826
146,Albania,2001,male,55-74 years,11,196670
147,Albania,2001,female,75+ years,2,47254
148,Albania,2001,male,15-24 years,10,256039
149,Albania,2001,female,15-24 years,9,271359
150,Albania,2001,female,35-54 years,12,370191
151,Albania,2001,male,75+ years,1,31044
152,Albania,2001,female,55-74 years,6,189799
153,Albania,2001,male,5-14 years,6,321556
154,Albania,2001,female,25-34 years,4,222771
155,Albania,2001,female,5-14 years,2,307356
156,Albania,2002,male,75+ years,4,31007
