,suicides/100k pop,country-year,HDI for year, gdp_for_year ($) ,gdp_per_capita ($),generation
0,6.71,Albania1987,,"2,156,624,900",796,Generation X
1,5.19,Albania1987,,"2,156,624,900",796,Silent
2,4.83,Albania1987,,"2,156,624,900",796,Generation X
3,4.59,Albania1987,,"2,156,624,900",796,G.I. Generation
4,3.28,Albania1987,,"2,156,624,900",796,Boomers
5,2.81,Albania1987,,"2,156,624,900",796,G.I. Generation
6,2.15,Albania1987,,"2,156,624,900",796,Silent
7,1.56,Albania1987,,"2,156,624,900",796,Boomers
8,0.73,Albania1987,,"2,156,624,900",796,G.I. Generation
9,0.0,Albania1987,,"2,156,624,900",796,Generation X
10,0.0,Albania1987,,"2,156,624,900",796,G.I. Generation
11,0.0,Albania1987,,"2,156,624,900",796,Generation X
12,5.49,Albania1988,,"2,126,000,000",769,G.I. Generation
13,5.33,Albania1988,,"2,126,000,000",769,Generation X
14,4.48,Albania1988,,"2,126,000,000",769,G.I. Generation
15,4.46,Albania1988,,"2,126,000,000",769,Silent
16,2.85,Albania1988,,"2,126,000,000",769,G.I. Generation
17,2.71,Albania1988,,"2,126,000,000",769,Generation X
18,2.03,Albania1988,,"2,126,000,000",769,G.I. Generation
19,1.91,Albania1988,,"2,126,000,000",769,Boomers
20,1.79,Albania1988,,"2,126,000,000",769,Boomers
21,1.41,Albania1988,,"2,126,000,000",769,Silent
22,0.0,Albania1988,,"2,126,000,000",769,Generation X
23,0.0,Albania1988,,"2,126,000,000",769,Generation X
24,8.89,Albania1989,,"2,335,124,988",833,G.I. Generation
25,6.35,Albania1989,,"2,335,124,988",833,Boomers
26,4.71,Albania1989,,"2,335,124,988",833,Silent
27,4.22,Albania1989,,"2,335,124,988",833,G.I. Generation
28,3.71,Albania1989,,"2,335,124,988",833,Generation X
29,2.43,Albania1989,,"2,335,124,988",833,Silent
30,1.67,Albania1989,,"2,335,124,988",833,Generation X
31,0.75,Albania1989,,"2,335,124,988",833,Boomers
32,0.67,Albania1989,,"2,335,124,988",833,G.I. Generation
33,0.0,Albania1989,,"2,335,124,988",833,Generation X
34,0.0,Albania1989,,"2,335,124,988",833,G.I. Generation
35,0.0,Albania1989,,"2,335,124,988",833,Generation X
36,3.49,Albania1992,,"709,452,584",251,Boomers
37,3.41,Albania1992,,"709,452,584",251,Generation X
38,3.13,Albania1992,,"709,452,584",251,Silent
39,2.85,Albania1992,,"709,452,584",251,Boomers
40,2.39,Albania1992,,"709,452,584",251,Generation X
41,1.5,Albania1992,,"709,452,584",251,Boomers
42,0.62,Albania1992,,"709,452,584",251,Boomers
43,0.61,Albania1992,,"709,452,584",251,Silent
44,0.0,Albania1992,,"709,452,584",251,Millenials
45,0.0,Albania1992,,"709,452,584",251,G.I. Generation
46,0.0,Albania1992,,"709,452,584",251,Millenials
47,0.0,Albania1992,,"709,452,584",251,G.I. Generation
48,7.4,Albania1993,,"1,228,071,038",437,Generation X
49,4.24,Albania1993,,"1,228,071,038",437,Silent
50,4.13,Albania1993,,"1,228,071,038",437,G.I. Generation
51,3.91,Albania1993,,"1,228,071,038",437,Boomers
52,3.51,Albania1993,,"1,228,071,038",437,Generation X
53,2.85,Albania1993,,"1,228,071,038",437,Boomers
54,2.67,Albania1993,,"1,228,071,038",437,Boomers
55,2.11,Albania1993,,"1,228,071,038",437,Boomers
56,1.18,Albania1993,,"1,228,071,038",437,Silent
57,0.29,Albania1993,,"1,228,071,038",437,Millenials
58,0.27,Albania1993,,"1,228,071,038",437,Millenials
59,0.0,Albania1993,,"1,228,071,038",437,G.I. Generation
60,8.13,Albania1994,,"1,985,673,798",697,G.I. Generation
61,6.42,Albania1994,,"1,985,673,798",697,Silent
62,5.01,Albania1994,,"1,985,673,798",697,G.I. Generation
63,2.59,Albania1994,,"1,985,673,798",697,Boomers
